Problem,Home Remedy,
Heart Problems,Eating almonds or drinking almond milk daily / mix a clove or two of minced garlic with a glass of warm milk,
Chest Pains, Icing the area with a cold pack /turmeric milk with a teaspoon of turmeric in warm milk,
Fever,20ml. of decotion  with 5gm of sugar taken 3-4 times a day ,
Inflammation,Adding turmeric to the everyday meals,
Severe allergic reactions,A teaspoon of local honey taken every day,
Heart stroke,"Drinking natural, sugar-free pomegranate juice can benefit your heart",
Parasitic infections,Clove oil can be topically applied ,
Infections caused by pork tapeworm and dog tapeworm,Mix three or four tablespoons of hot water with one tablespoon of raw papaya juice and honey to kill tapeworms,
Treatment of Anxiety,"Some herbal teas, such as chamomile or valerian root, may have calming effects",
Panic disorder,Take a few tablespoons of dried whole chamomile add in boiling water and filter it and drink,
Acidity,"Having around 1 teaspoon fennel powder with a glass of warm water relieves acidity and its symptoms like heartburn, bloating and improves digestion",
Stomach ulcers,Take honey with a glass of warm water to relieve stomach ulcers,
Bloating,"Boil some ajwain in water, allow it to cool and then drink it",
High blood pressure,"Having  vegetables like spinach,kale in the diet which are rich in potassium",
Angina (heart-related chest pain),Eating almonds or drinking almond milk daily / mix a clove or two of minced garlic with a glass of warm milk,
Bacterial infections,Yoghurt and other probiotics have an ample amount of good bacteria that help stave off many fungal infections,
Nausea,Applying a cold compress to the back of the neck may help reduce nausea symptoms,
Vomiting,Peppermint may help calm the stomach muscles and reduce nausea,
Headache,Chamomile tea may have calming effects that could help ease headache discomfort,
Diarrhea,"Bananas are easy to digest and can help replenish potassium, which may be lost during diarrhea",
Stomach cramps,Apply a hot water bottle or a warm compress to your abdomen. Heat can help relax the muscles and relieve cramping,
Cholesterol,"Foods fortified with plant sterols and stanols, such as certain margarines, can help lower cholesterol",
Bradycardia,"Dehydration can contribute to bradycardia,Ensure you are drinking an adequate amount of water throughout the day",
Migraine headache,Inhaling the aroma of lavender oil or applying it topically may provide relief from migraine pain,
Eye disorders,"Applying a warm compress to your closed eyes can help relieve eye strain, reduce dryness, and soothe irritated eyes",
